Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,FlipToken,TimeInSeconds,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,235,1030005.048297,17.346,16.686,16.679,0.229,49.493,67.276,2.966,109.885,180,405,0,49,NA,NA,NA,NA,NA,NA,4.454,7.181,4.454,8,13,13,NA,4541,42, 64,113.754,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,236,1030005.065038,16.384,16.740,16.639,0.255,49.427,67.174,2.953,110.139,180,405,0,49,NA,NA,NA,NA,NA,NA,4.439,7.157,4.439,8,13,13,NA,4541,42, 64,113.754,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,237,1030005.081623,15.969,16.586,16.705,0.382,49.487,67.293,2.984,110.876,180,405,0,49,NA,NA,NA,NA,NA,NA,4.481,7.224,4.481,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,238,1030005.098306,16.653,16.683,16.623,0.383,49.511,67.234,2.968,110.846,180,405,0,49,NA,NA,NA,NA,NA,NA,4.455,7.182,4.455,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,239,1030005.114955,17.089,16.649,16.665,0.345,49.519,67.249,2.974,110.751,180,405,0,49,NA,NA,NA,NA,NA,NA,4.464,7.197,4.464,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,240,1030005.131624,16.333,16.668,16.690,0.305,49.502,67.271,2.970,111.107,180,405,0,49,NA,NA,NA,NA,NA,NA,4.459,7.188,4.459,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,241,1030005.148356,16.842,16.733,16.658,0.431,49.447,67.196,2.955,110.923,180,405,0,49,NA,NA,NA,NA,NA,NA,4.441,7.161,4.441,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,242,1030005.164966,16.800,16.610,16.658,0.397,49.506,67.244,2.981,110.781,180,405,0,49,NA,NA,NA,NA,NA,NA,4.474,7.214,4.474,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,243,1030005.181681,16.434,16.715,16.683,0.297,49.438,67.212,2.958,111.029,180,405,0,49,NA,NA,NA,NA,NA,NA,4.446,7.168,4.446,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 5090,AMD Ryzen 9 5900X 12-Core Processor            ,3840x2160,D3D12,0,14984,0x000001D69B49EA10,1,0,Hardware Composed: Independent Flip,0,244,1030005.198319,16.781,16.638,16.643,0.288,49.484,67.217,2.974,110.891,180,405,0,49,NA,NA,NA,NA,NA,NA,4.467,7.201,4.467,8,13,13,NA,4541,42, 64,115.741,NA,51,40,52,79,45,56,41,46,39,73,45,81,27,36,23,52,14,64,15,36,15,44,12,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
